state,year,type,source,descrip,spon_names_raw,spon_names_clean,spon_total,spon_women,spon_men,prop_spon_women,spon_white,spon_black,spon_hispanic,spon_asian,spon_native,spon_islander,spon_other,spon_minority,spon_dem,spon_rep,spon_thi,spon_np,prop_spon_dem
California,2022,contra_otc_wo_script,SB 523,Mandated insurance coverage for FDA approved over-the-counter contraceptives without prescription.,"Sen. Connie Leyva [D], Asm. David Chiu [D], Asm. Cristina Garcia [D], Sen. Lena Gonzalez [D], Sen. Benjamin Hueso [D], Asm. Marc Levine [D], Sen. Josh Newman [D]","Sen. Connie Leyva [D], Asm. David Chiu [D], Asm. Cristina Garcia [D], Sen. Lena Gonzalez [D], Sen. Benjamin Hueso [D], Asm. Marc Levine [D], Sen. Josh Newman [D]",7,3,4,0.4285714286,,,,,,,,0,7,0,0,0,1
California,2022,contra_script,SB 523,Mandated insurance coverage for FDA-Approved contraceptives with a prescription. ,"Sen. Connie Leyva [D], Asm. David Chiu [D], Asm. Cristina Garcia [D], Sen. Lena Gonzalez [D], Sen. Benjamin Hueso [D], Asm. Marc Levine [D], Sen. Josh Newman [D]","Sen. Connie Leyva [D], Asm. David Chiu [D], Asm. Cristina Garcia [D], Sen. Lena Gonzalez [D], Sen. Benjamin Hueso [D], Asm. Marc Levine [D], Sen. Josh Newman [D]",7,3,4,0.4285714286,,,,,,,,0,7,0,0,0,1
California,2022,gen_affirm_man,SB 923,Mandated insurance coverage for gender affirming surgery.,"Sen. Scott Wiener [D]	Asm. Cristina Garcia [D]	Sen. Sabrina Cervantes [D]	Asm. Alex Lee [D]
Asm. Evan Low [D]","Sen. Scott Wiener [D], Asm. Cristina Garcia [D], Sen. Sabrina Cervantes [D], Asm. Alex Lee [D], Asm. Evan Low [D]",5,2,3,0.4,,,,,,,,0,5,0,0,0,1
California,2022,vase,SB 523,Mandates insurance coverage for vasectomies.,"Sen. Connie Leyva [D], Asm. David Chiu [D], Asm. Cristina Garcia [D], Sen. Lena Gonzalez [D], Sen. Benjamin Hueso [D], Asm. Marc Levine [D], Sen. Josh Newman [D]","Sen. Connie Leyva [D], Asm. David Chiu [D], Asm. Cristina Garcia [D], Sen. Lena Gonzalez [D], Sen. Benjamin Hueso [D], Asm. Marc Levine [D], Sen. Josh Newman [D]",7,3,4,0.4285714286,,,,,,,,0,7,0,0,0,1
California,2023,gen_affirm_man,AB 571,Mandated insurance coverage for gender affirming surgery.,"Asm. Cottie Petrie-Norris [D]	Asm. Buffy Wicks [D]	Asm. Cecilia Aguiar-Curry [D]	Asm. Rebecca Bauer-Kahan [D]
Sen. Josh Becker [D]	Asm. Marc Berman [D]	Asm. Lisa Calderon [D]	Sen. Sabrina Cervantes [D]
Asm. Laura Friedman [D]	Asm. Jesse Gabriel [D]	Asm. Mike Gipson [D]	Asm. Matt Haney [D]
Asm. Reginald Jones-Sawyer [D]	Sen. Dave Min [D]	Asm. Stephanie Nguyen [D]","Asm. Cottie Petrie-Norris [D], Asm. Buffy Wicks [D], Asm. Cecilia Aguiar-Curry [D], Asm. Rebecca Bauer-Kahan [D], Sen. Josh Becker [D], Asm. Marc Berman [D], Asm. Lisa Calderon [D], Sen. Sabrina Cervantes [D], Asm. Laura Friedman [D], Asm. Jesse Gabriel [D], Asm. Mike Gipson [D], Asm. Matt Haney [D], Asm. Reginald Jones-Sawyer [D], Sen. Dave Min [D], Asm. Stephanie Nguyen [D]",15,9,6,0.6,,,,,,,,0,15,0,0,0,1
California,2023,gen_affirm_man,SB 345,Mandated insurance coverage for gender affirming surgery.,"Sen. Nancy Skinner [D]	Asm. Cecilia Aguiar-Curry [D]	Sen. Josh Becker [D]	Sen. Anna Caballero [D]
Sen. Sabrina Cervantes [D]	Asm. Damon Connolly [D]	Sen. Dave Cortese [D]	Sen. Bill Dodd [D]
Asm. Matt Haney [D]	Asm. Ash Kalra [D]	Sen. Mike McGuire [D]	Sen. Caroline Menjivar [D]
Sen. Dave Min [D]	Sen. Steve Padilla [D]	Asm. Gail Pellerin [D]	Asm. Pilar Schiavo [D]
Sen. Henry Stern [D]	Sen. Aisha Wahab [D]	Sen. Scott Wiener [D]","Sen. Nancy Skinner [D], Asm. Cecilia Aguiar-Curry [D], Sen. Josh Becker [D], Sen. Anna Caballero [D], Sen. Sabrina Cervantes [D], Asm. Damon Connolly [D], Sen. Dave Cortese [D], Sen. Bill Dodd [D], Asm. Matt Haney [D], Asm. Ash Kalra [D], Sen. Mike McGuire [D], Sen. Caroline Menjivar [D], Sen. Dave Min [D], Sen. Steve Padilla [D], Asm. Gail Pellerin [D], Asm. Pilar Schiavo [D], Sen. Henry Stern [D], Sen. Aisha Wahab [D], Sen. Scott Wiener [D]",19,8,8,0.4210526316,,,,,,,,0,19,0,0,0,1
California,2024,fer_treat,SB 729,Mandates insurance coverage for diagnosis and treatment of infertility and fertility services. ,"Sen. Caroline Menjivar [D]        Asm. Buffy Wicks [D]        Asm. Marc Berman [D]        Sen. Sabrina Cervantes [D]
Asm. Matt Haney [D]        Asm. Evan Low [D]        Asm. Gail Pellerin [D]        Sen. Anthony Portantino [D]
Sen. Susan Rubio [D]        Sen. Scott Wiener [D]","Sen. Caroline Menjivar [D] Asm. Buffy Wicks [D] Asm. Marc Berman [D] Sen. Sabrina Cervantes [D], Asm. Matt Haney [D] Asm. Evan Low [D] Asm. Gail Pellerin [D] Sen. Anthony Portantino [D], Sen. Susan Rubio [D] Sen. Scott Wiener [D]",10,5,5,0.5,,,,,,,,0,10,0,0,0,1
Colorado,2010,contra_script,HB 1021,Mandated insurance coverage for FDA-Approved contraceptives with a prescription. ,"Sen. Joyce Foster [D], Rep. Jerry Frangas [D]","Sen. Joyce Foster [D], Rep. Jerry Frangas [D]",2,1,1,0.5,,,,,,,,0,2,0,0,0,1
Colorado,2017,contra_ex_sup,HB 1186 ,Mandated insurance coverage for 12-month FDA approved prescription contraceptives.,"Sen. Brittany Pettersen [D], Rep. Lois Landgraf [R], Sen. Donald Coram [R]","Sen. Brittany Pettersen [D], Rep. Lois Landgraf [R], Sen. Donald Coram [R]",3,2,1,0.6666666667,,,,,,,,0,1,2,0,0,0.3333333333
Colorado,2020,fer_treat,HB 1158,Mandates insurance coverage for diagnosis and treatment of infertility and fertility services.,Rep. Kerry Tipper [D]	Rep. Leslie Herod [D]	Sen. Faith Winter [D]	Sen. Steve Fenberg [D],"Rep. Kerry Tipper [D], Rep. Leslie Herod [D], Sen. Faith Winter [D], Sen. Steve Fenberg [D]",4,3,4,0.75,,,,,,,,0,4,0,0,0,1
Colorado,2021,contra_ex_sup,SB 25,Mandated insurance coverage for 12-month FDA approved and hormonal contraceptives.,"Sen. Sonya Jaquez Lewis [D], Rep. Yadira Caraveo [D], Sen. Janet Buckner [D], Sen. Jessie Danielson [D], Sen. Julie Gonzales [D], Sen. Chris Kolker [D], Sen. Brittany Pettersen [D], Sen. Robert Rodriguez [D], Rep. Adrienne Benavidez [D], Rep. Monica Duran [D], Rep. Serena Gonzales-Gutierrez [D], Rep. Edith Hooton [D], Sen. Iman Jodeh [D], Rep. Susan Lontine [D], Sen. Dafna Michaelson Jenet [D], Sen. Kyle Mullica [D], Rep. David Ortiz [D], Rep. Brianna Titone [D], Rep. Donald Valdez [D], Rep. Alex Valdez [D], Rep. Steven Woodrow [D], Sen. Jeff Bridges [D], Sen. James Coleman [D], Sen. Kerry Donovan [D], Sen. Steve Fenberg [D], Sen. Rhonda Fields [D], Sen. Joann Ginal [D], Sen. Chris Hansen [D], Sen. Pete Lee [D], Sen. Dominick Moreno [D], Rep. Tammy Story [D], Sen. Faith Winter [D], Sen. Rachel Zenzinger [D], Rep. Jennifer Bacon [D], Rep. Shannon Bird [D], Rep. Andrew Boesenecker [D], Sen. Lisa Cutter [D], Rep. Daneya Esgar [D], Sen. Thomas Exum [D], Rep. Meg Froelich [D], Rep. Matt Gray [D], Rep. Leslie Herod [D], Rep. Dominique Jackson [D], Rep. Chris Kennedy [D], Sen. Cathy Kipp [D], Rep. Julie McCluskie [D], Rep. Karen McCormick [D], Rep. Barbara McLachlan [D], Rep. Emily Sirota [D], Sen. Tom Sullivan [D], Rep. Mary Young [D]","Sen. Sonya Jaquez Lewis [D], Rep. Yadira Caraveo [D], Sen. Janet Buckner [D], Sen. Jessie Danielson [D], Sen. Julie Gonzales [D], Sen. Chris Kolker [D], Sen. Brittany Pettersen [D], Sen. Robert Rodriguez [D], Rep. Adrienne Benavidez [D], Rep. Monica Duran [D], Rep. Serena Gonzales-Gutierrez [D], Rep. Edith Hooton [D], Sen. Iman Jodeh [D], Rep. Susan Lontine [D], Sen. Dafna Michaelson Jenet [D], Sen. Kyle Mullica [D], Rep. David Ortiz [D], Rep. Brianna Titone [D], Rep. Donald Valdez [D], Rep. Alex Valdez [D], Rep. Steven Woodrow [D], Sen. Jeff Bridges [D], Sen. James Coleman [D], Sen. Kerry Donovan [D], Sen. Steve Fenberg [D], Sen. Rhonda Fields [D], Sen. Joann Ginal [D], Sen. Chris Hansen [D], Sen. Pete Lee [D], Sen. Dominick Moreno [D], Rep. Tammy Story [D], Sen. Faith Winter [D], Sen. Rachel Zenzinger [D], Rep. Jennifer Bacon [D], Rep. Shannon Bird [D], Rep. Andrew Boesenecker [D], Sen. Lisa Cutter [D], Rep. Daneya Esgar [D], Sen. Thomas Exum [D], Rep. Meg Froelich [D], Rep. Matt Gray [D], Rep. Leslie Herod [D], Rep. Dominique Jackson [D], Rep. Chris Kennedy [D], Sen. Cathy Kipp [D], Rep. Julie McCluskie [D], Rep. Karen McCormick [D], Rep. Barbara McLachlan [D], Rep. Emily Sirota [D], Sen. Tom Sullivan [D], Rep. Mary Young [D]",51,32,19,0.6274509804,,,,,,,,0,51,0,0,0,1
Colorado,2021,contra_ex_sup,SB 9,Mandated insurance coverage for 12-month FDA approved and hormonal contraceptives.,"Sen. Sonya Jaquez Lewis [D]	Rep. Yadira Caraveo [D]	Sen. Janet Buckner [D]	Sen. Jessie Danielson [D]
Sen. Julie Gonzales [D]	Sen. Chris Kolker [D]	Sen. Brittany Pettersen [D]	Sen. Robert Rodriguez [D]
Rep. Adrienne Benavidez [D]	Rep. Monica Duran [D]	Rep. Serena Gonzales-Gutierrez [D]	Rep. Edith Hooton [D]
Sen. Iman Jodeh [D]	Rep. Susan Lontine [D]	Sen. Dafna Michaelson Jenet [D]	Sen. Kyle Mullica [D]
Rep. David Ortiz [D]	Rep. Brianna Titone [D]	Rep. Donald Valdez [D]	Rep. Alex Valdez [D]
Rep. Steven Woodrow [D]	Sen. Jeff Bridges [D]	Sen. James Coleman [D]	Sen. Kerry Donovan [D]
Sen. Steve Fenberg [D]	Sen. Rhonda Fields [D]	Sen. Joann Ginal [D]	Sen. Chris Hansen [D]
Sen. Pete Lee [D]	Sen. Dominick Moreno [D]	Rep. Tammy Story [D]	Sen. Faith Winter [D]
Sen. Rachel Zenzinger [D]	Rep. Jennifer Bacon [D]	Rep. Shannon Bird [D]	Rep. Andrew Boesenecker [D]
Sen. Lisa Cutter [D]	Rep. Daneya Esgar [D]	Sen. Thomas Exum [D]	Rep. Meg Froelich [D]
Rep. Matt Gray [D]	Rep. Leslie Herod [D]	Rep. Dominique Jackson [D]	Rep. Chris Kennedy [D]
Sen. Cathy Kipp [D]	Rep. Julie McCluskie [D]	Rep. Karen McCormick [D]	Rep. Barbara McLachlan [D]
Rep. Emily Sirota [D]	Sen. Tom Sullivan [D]	Rep. Mary Young [D]","Sen. Sonya Jaquez Lewis [D], Rep. Yadira Caraveo [D], Sen. Janet Buckner [D], Sen. Jessie Danielson [D], Sen. Julie Gonzales [D], Sen. Chris Kolker [D], Sen. Brittany Pettersen [D], Sen. Robert Rodriguez [D], Rep. Adrienne Benavidez [D], Rep. Monica Duran [D], Rep. Serena Gonzales-Gutierrez [D], Rep. Edith Hooton [D], Sen. Iman Jodeh [D], Rep. Susan Lontine [D], Sen. Dafna Michaelson Jenet [D], Sen. Kyle Mullica [D], Rep. David Ortiz [D], Rep. Brianna Titone [D], Rep. Donald Valdez [D], Rep. Alex Valdez [D], Rep. Steven Woodrow [D], Sen. Jeff Bridges [D], Sen. James Coleman [D], Sen. Kerry Donovan [D], Sen. Steve Fenberg [D], Sen. Rhonda Fields [D], Sen. Joann Ginal [D], Sen. Chris Hansen [D], Sen. Pete Lee [D], Sen. Dominick Moreno [D], Rep. Tammy Story [D], Sen. Faith Winter [D], Sen. Rachel Zenzinger [D], Rep. Jennifer Bacon [D], Rep. Shannon Bird [D], Rep. Andrew Boesenecker [D], Sen. Lisa Cutter [D], Rep. Daneya Esgar [D], Sen. Thomas Exum [D], Rep. Meg Froelich [D], Rep. Matt Gray [D], Rep. Leslie Herod [D], Rep. Dominique Jackson [D], Rep. Chris Kennedy [D], Sen. Cathy Kipp [D], Rep. Julie McCluskie [D], Rep. Karen McCormick [D], Rep. Barbara McLachlan [D], Rep. Emily Sirota [D], Sen. Tom Sullivan [D], Rep. Mary Young [D]",51,31,20,0.6078431373,,,,,,,,0,51,0,0,0,1
Colorado,2022,fer_treat,HB 1008 ,Mandates insurance coverage for diagnosis and treatment of infertility and fertility services. ,"Rep. Matt Soper [R]	Rep. Kerry Tipper [D]	Sen. Steve Fenberg [D]	Sen. Faith Winter [D]
Rep. David Ortiz [D]	Sen. Judith Amabile [D]	Rep. Jennifer Bacon [D]	Rep. Tracey Bernett [D]
Rep. Shannon Bird [D]	Rep. Andrew Boesenecker [D]	Rep. Yadira Caraveo [D]	Sen. Lisa Cutter [D]
Rep. Daneya Esgar [D]	Sen. Thomas Exum [D]	Rep. Meg Froelich [D]	Rep. Alec Garnett [D]
Rep. Serena Gonzales-Gutierrez [D]	Rep. Matt Gray [D]	Rep. Leslie Herod [D]	Rep. Edith Hooton [D]
Sen. Iman Jodeh [D]	Rep. Chris Kennedy [D]	Rep. Mandy Lindsay [D]	Rep. Julie McCluskie [D]
Rep. Karen McCormick [D]	Rep. Barbara McLachlan [D]	Sen. Dafna Michaelson Jenet [D]	Sen. Kyle Mullica [D]
Rep. Naquetta Ricks [D]	Sen. Dylan Roberts [D]	Rep. Emily Sirota [D]	Sen. Tom Sullivan [D]
Rep. Brianna Titone [D]	Rep. Donald Valdez [D]	Rep. Alex Valdez [D]	Sen. Michael Weissman [D]
Rep. Mary Young [D]	Sen. Janet Buckner [D]	Sen. Rhonda Fields [D]	Sen. Joann Ginal [D]
Sen. Julie Gonzales [D]	Sen. Chris Hansen [D]	Sen. Nick Hinrichsen [D]	Sen. Chris Kolker [D]
Sen. Dominick Moreno [D]	Sen. Brittany Pettersen [D]	Sen. Robert Rodriguez [D]	Rep. Tammy Story [D]
Sen. Rachel Zenzinger [D]","Rep. Matt Soper [R], Rep. Kerry Tipper [D], Sen. Steve Fenberg [D], Sen. Faith Winter [D], Rep. David Ortiz [D], Sen. Judith Amabile [D], Rep. Jennifer Bacon [D], Rep. Tracey Bernett [D], Rep. Shannon Bird [D], Rep. Andrew Boesenecker [D], Rep. Yadira Caraveo [D], Sen. Lisa Cutter [D], Rep. Daneya Esgar [D], Sen. Thomas Exum [D], Rep. Meg Froelich [D], Rep. Alec Garnett [D], Rep. Serena Gonzales-Gutierrez [D], Rep. Matt Gray [D], Rep. Leslie Herod [D], Rep. Edith Hooton [D], Sen. Iman Jodeh [D], Rep. Chris Kennedy [D], Rep. Mandy Lindsay [D], Rep. Julie McCluskie [D], Rep. Karen McCormick [D], Rep. Barbara McLachlan [D], Sen. Dafna Michaelson Jenet [D], Sen. Kyle Mullica [D], Rep. Naquetta Ricks [D], Sen. Dylan Roberts [D], Rep. Emily Sirota [D], Sen. Tom Sullivan [D], Rep. Brianna Titone [D], Rep. Donald Valdez [D], Rep. Alex Valdez [D], Sen. Michael Weissman [D], Rep. Mary Young [D], Sen. Janet Buckner [D], Sen. Rhonda Fields [D], Sen. Joann Ginal [D], Sen. Julie Gonzales [D], Sen. Chris Hansen [D], Sen. Nick Hinrichsen [D], Sen. Chris Kolker [D], Sen. Dominick Moreno [D], Sen. Brittany Pettersen [D], Sen. Robert Rodriguez [D], Rep. Tammy Story [D], Sen. Rachel Zenzinger [D]",49,30,19,0.612244898,,,,,,,,0,48,1,0,0,0.9795918367
